Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
DEFLATE_L9_P2,9,2,35.28,84.0,7.36,0.757,S2-16D_V2_001014_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,0.418,S2-16D_V2_001014_20260728,B8A
DEFLATE_L1_P2,1,2,35.07,84.1,1.296,0.691,S2-16D_V2_001014_20260728,B8A
DEFLATE_L2_P2,2,2,36.06,83.65,1.441,0.661,S2-16D_V2_001014_20260728,B8A
DEFLATE_L3_P2,3,2,36.07,83.64,1.441,0.648,S2-16D_V2_001014_20260728,B8A
DEFLATE_L5_P2,5,2,36.18,83.59,1.494,0.628,S2-16D_V2_001014_20260728,B8A
DEFLATE_L6_P2,6,2,36.18,83.59,1.532,0.674,S2-16D_V2_001014_20260728,B8A
DEFLATE_L7_P2,7,2,36.16,83.6,1.783,0.706,S2-16D_V2_001014_20260728,B8A
DEFLATE_L8_P2,8,2,36.16,83.6,1.803,0.725,S2-16D_V2_001014_20260728,B8A
DEFLATE_L9_P2,9,2,35.34,83.98,7.067,0.686,S2-16D_V2_001014_20260728,B8A
RAW_SemComp,0,0,220.51,0.0,0.0,0.426,S2-16D_V2_002011_20260728,B08
DEFLATE_L1_P2,1,2,55.88,74.66,1.643,0.802,S2-16D_V2_002011_20260728,B08
DEFLATE_L2_P2,2,2,57.27,74.03,2.048,0.843,S2-16D_V2_002011_20260728,B08
DEFLATE_L3_P2,3,2,57.27,74.03,1.942,0.827,S2-16D_V2_002011_20260728,B08
DEFLATE_L5_P2,5,2,57.55,73.9,2.021,0.859,S2-16D_V2_002011_20260728,B08
DEFLATE_L6_P2,6,2,57.55,73.9,2.134,0.905,S2-16D_V2_002011_20260728,B08
DEFLATE_L7_P2,7,2,57.53,73.91,2.37,0.883,S2-16D_V2_002011_20260728,B08
DEFLATE_L8_P2,8,2,57.53,73.91,2.409,0.817,S2-16D_V2_002011_20260728,B08
DEFLATE_L9_P2,9,2,55.96,74.62,7.22,0.746,S2-16D_V2_002011_20260728,B08
RAW_SemComp,0,0,110.26,0.0,0.0,0.213,S2-16D_V2_002012_20260728,SCL
DEFLATE_L1_P2,1,2,0.92,99.17,0.454,0.293,S2-16D_V2_002012_20260728,SCL
DEFLATE_L2_P2,2,2,0.91,99.17,0.494,0.284,S2-16D_V2_002012_20260728,SCL
DEFLATE_L3_P2,3,2,0.9,99.18,0.473,0.226,S2-16D_V2_002012_20260728,SCL
DEFLATE_L5_P2,5,2,0.88,99.2,0.444,0.227,S2-16D_V2_002012_20260728,SCL
